Date,Open,High,Low,Close,Adj Close,Volume
2022-08-25,75.500000,76.099998,73.529999,74.480003,73.963631,22784600
2022-08-26,74.389999,75.360001,73.120003,73.550003,73.040092,20581100
2022-08-29,73.199997,77.129997,72.820000,75.260002,74.738228,29995000
2022-08-30,73.500000,73.860001,71.180000,72.010002,71.510765,26152900
2022-08-31,70.339996,72.400002,69.550003,71.000000,70.507767,21579100
2022-09-01,69.239998,69.930000,67.839996,68.400002,67.925789,21504300
2022-09-02,70.610001,70.900002,68.269997,68.769997,68.293221,22793000
2022-09-06,68.989998,69.510002,66.580002,66.879997,66.416328,21676400
2022-09-07,65.300003,66.010002,64.400002,65.430000,64.976379,22488400
2022-09-08,66.000000,66.199997,64.029999,64.610001,64.162064,22052700
2022-09-09,65.550003,65.879997,64.290001,65.610001,65.286491,21708300
2022-09-12,67.000000,67.809998,65.680000,66.800003,66.470627,26349100
2022-09-13,65.629997,66.779999,64.519997,65.339996,65.017822,25446400
2022-09-14,66.220001,67.790001,65.760002,67.199997,66.868645,28407000
2022-09-15,65.800003,66.139999,65.010002,65.089996,64.769051,24382100
2022-09-16,65.000000,65.040001,63.009998,64.410004,64.092407,57451400
2022-09-19,62.599998,64.940002,62.430000,64.680000,64.361076,19677400
2022-09-20,64.099998,64.820000,63.250000,64.279999,63.963047,20264200
2022-09-21,65.629997,65.959999,62.320000,62.680000,62.370937,18597200
2022-09-22,63.189999,64.269997,61.750000,61.880001,61.574883,20343200
2022-09-23,59.689999,60.070000,58.040001,58.730000,58.440414,29654900
2022-09-26,58.310001,59.230000,57.430000,57.880001,57.594608,25390700
2022-09-27,58.880001,59.470001,57.669998,58.529999,58.241402,28187500
2022-09-28,58.959999,61.599998,58.630001,61.410000,61.107201,22343900
2022-09-29,61.220001,63.119999,60.549999,62.110001,61.803749,30091400
2022-09-30,60.799999,62.220001,60.410000,61.450001,61.147003,19494900
2022-10-03,63.720001,65.029999,63.400002,64.059998,63.744133,25451400
2022-10-04,65.160004,67.139999,64.730003,66.169998,65.843735,25152300
2022-10-05,66.070000,68.160004,65.639999,67.739998,67.405991,25491400
2022-10-06,67.599998,70.830002,67.510002,70.500000,70.152382,23475300
2022-10-07,70.860001,72.040001,69.059998,69.800003,69.455833,29085000
2022-10-10,69.099998,70.279999,65.589996,65.629997,65.306389,24069200
2022-10-11,64.160004,65.449997,62.730000,64.029999,63.714279,22465500
2022-10-12,63.660000,65.860001,62.770000,65.110001,64.788956,17647100
2022-10-13,63.660000,68.489998,63.660000,68.000000,67.664703,22618700
2022-10-14,67.400002,69.059998,66.180000,66.680000,66.351212,17836000
2022-10-17,68.080002,69.400002,67.269997,67.360001,67.027863,14839400
2022-10-18,67.750000,68.260002,65.860001,67.779999,67.445793,15683800
2022-10-19,67.599998,68.980003,67.430000,68.459999,68.122437,17116000
2022-10-20,69.449997,70.480003,68.279999,68.849998,68.510513,15403000
2022-10-21,69.830002,71.660004,69.160004,71.260002,70.908630,16716000
2022-10-24,70.809998,72.139999,70.300003,70.830002,70.480751,12902800
2022-10-25,70.820000,71.570000,70.209999,71.089996,70.739471,12413500
2022-10-26,71.599998,73.290001,71.500000,72.519997,72.162415,12722000
2022-10-27,73.589996,74.169998,71.760002,71.870003,71.515625,12754100
2022-10-28,72.489998,73.279999,69.849998,71.839996,71.485771,13814400
2022-10-31,71.199997,74.129997,71.099998,72.599998,72.242027,13646400
2022-11-01,74.019997,74.489998,73.160004,73.800003,73.436111,13011800
2022-11-02,73.400002,73.540001,70.959999,71.099998,70.749420,16178400
2022-11-03,70.489998,72.599998,69.900002,72.160004,71.804199,12815300
2022-11-04,74.470001,75.760002,72.610001,73.269997,72.908722,16034400
2022-11-07,74.050003,76.110001,73.820000,75.970001,75.595413,17469200
2022-11-08,75.750000,75.750000,74.019997,74.830002,74.461029,16029700
2022-11-09,72.650002,73.029999,67.139999,67.930000,67.595055,24783400
2022-11-10,69.510002,70.529999,67.550003,70.480003,70.132484,18619500
2022-11-11,71.160004,74.720001,71.050003,74.330002,73.963493,20663600
2022-11-14,73.750000,75.779999,73.220001,73.279999,72.918671,15592000
2022-11-15,73.510002,74.839996,72.059998,74.430000,74.062996,17099100
2022-11-16,73.180000,74.000000,71.919998,71.930000,71.575325,13155000
2022-11-17,70.760002,71.489998,69.769997,71.459999,71.107643,11624400
2022-11-18,69.040001,71.379997,68.519997,71.250000,70.898682,16252800
2022-11-21,69.110001,69.989998,66.769997,69.589996,69.246864,21673000
2022-11-22,70.570000,72.879997,70.099998,72.769997,72.411179,15944400
2022-11-23,71.250000,72.239998,70.110001,71.120003,70.769325,12375500
2022-11-25,71.180000,71.279999,70.139999,70.279999,69.933456,5426500
2022-11-28,68.150002,69.430000,67.339996,68.230003,67.893578,13366300
2022-11-29,69.400002,69.989998,68.620003,69.110001,68.769234,12701700
2022-11-30,70.400002,70.529999,68.650002,69.489998,69.147362,13850000
2022-12-01,70.300003,70.349998,68.779999,68.800003,68.460762,9247400
2022-12-02,68.300003,69.209999,67.830002,68.209999,67.873672,9092400
2022-12-05,69.220001,70.250000,65.919998,66.360001,66.032799,15275500
2022-12-06,66.129997,67.220001,63.740002,64.139999,63.823742,13006900
2022-12-07,64.209999,65.169998,63.529999,63.950001,63.634678,11757800
2022-12-08,65.550003,65.959999,63.060001,63.709999,63.395859,13268600
2022-12-09,63.580002,64.029999,62.520000,62.599998,62.418697,11979500
2022-12-12,62.900002,64.639999,62.599998,64.029999,63.844555,12659500
2022-12-13,65.370003,65.760002,63.849998,64.279999,64.093834,13408900
2022-12-14,64.839996,65.169998,62.830002,63.680000,63.495571,13390400
2022-12-15,62.990002,63.290001,62.099998,63.160000,62.977077,10737500
2022-12-16,61.950001,62.799999,61.270000,62.529999,62.348900,19373100
2022-12-19,63.000000,63.240002,61.730000,62.410000,62.229248,10057700
2022-12-20,62.240002,63.240002,62.029999,62.369999,62.189365,9925600
2022-12-21,63.630001,63.919998,62.459999,63.730000,63.545425,11611900
2022-12-22,63.730000,63.849998,60.610001,61.799999,61.621014,12991200
2022-12-23,62.520000,63.980000,62.380001,63.950001,63.764790,11828800
2022-12-27,64.309998,64.830002,63.880001,64.330002,64.143692,9026100
2022-12-28,63.889999,63.889999,61.750000,62.080002,61.900208,10347000
2022-12-29,61.580002,62.709999,61.290001,62.279999,62.099625,7338700
2022-12-30,62.000000,62.990002,61.919998,62.990002,62.807571,8182000
2023-01-03,62.299999,62.950001,60.110001,61.049999,60.873188,13104000
2023-01-04,59.939999,61.840000,59.700001,61.110001,60.933014,12238000
2023-01-05,61.119999,62.730000,60.750000,62.220001,62.039799,10692800
2023-01-06,63.410000,64.629997,62.939999,63.750000,63.565369,9832700
2023-01-09,64.870003,66.580002,63.980000,64.080002,63.894413,12519800
2023-01-10,64.260002,64.589996,63.119999,64.150002,63.964211,6613500
